"semestre","carrera","promedio"
"4","ELECTRICA",82.21
"4","ELECTRICA",82.57
"7","ELECTRICA",85.21
"7","ELECTRICA",79.15
"4","ELECTRICA",80.82
"6","ELECTRICA",81.21
"6","ELECTRICA",91.45
"4","ELECTRICA",93.11
"2","ELECTRICA",90.17
"8","ELECTRICA",83.88
"2","ELECTRICA",89.17
"4","ELECTRICA",82.27
"9","ELECTRICA",84.76
"2","ELECTRICA",83.2
"6","ELECTRICA",88.18
"2","ELECTRICA",85.5
"4","ELECTRICA",84.45
"4","ELECTRICA",83.87
"6","ELECTRICA",91.34
"2","ELECTRICA",88.83
"6","ELECTRICA",85.94
"2","ELECTRICA",89.33
"8","ELECTRICA",90.71
"6","ELECTRICA",80.22
"2","ELECTRICA",91.5
"2","ELECTRICA",86.33
"4","ELECTRICA",91.53
"6","ELECTRICA",83.85
"2","ELECTRICA",86.5
"2","ELECTRICA",85.17
"2","ELECTRICA",90
"2","ELECTRICA",86.75
"2","ELECTRICA",88.8
"2","ELECTRICA",88
"6","ELECTRICA",81.35
"2","ELECTRICA",86.67
"4","ELECTRICA",82.5
"8","ELECTRICA",86.58
"6","ELECTRICA",84.33
"6","ELECTRICA",86.32
"2","ELECTRICA",86.33
"8","ELECTRICA",85.53
"2","ELECTRICA",90.83
"4","ELECTRICA",86
"9","ELECTRICA",85.26
"6","ELECTRICA",79.28
"2","ELECTRICA",84.6
"2","ELECTRICA",89.4
"2","ELECTRICA",82.5
"4","ELECTRICA",81.65
"6","ELECTRICA",83.84
"4","ELECTRICA",85.88
"4","ELECTRICA",83.15
"7","ELECTRICA",82.42
"9","ELECTRICA",83.88
"2","ELECTRICA",85.83
"4","ELECTRICA",80.17
"8","ELECTRICA",84.48
"2","ELECTRICA",85.5
"6","ELECTRICA",86.4
"2","ELECTRICA",94.6
"2","ELECTRICA",90.83
"2","ELECTRICA",85.33
"2","ELECTRICA",85.75
"2","ELECTRICA",96.25
"3","ELECTRICA",89.8
"8","ELECTRICA",82.85
"8","ELECTRICA",89.51
"4","ELECTRICA",82.7
"2","ELECTRICA",90.5
"7","ELECTRICA",82.5
"7","ELECTRICA",82.1
"6","ELECTRICA",81.09
"9","ELECTRICA",83.24
"6","ELECTRICA",95.26
"4","ELECTRICA",80.89
"2","ELECTRICA",83.4
"4","ELECTRICA",81.33
"2","ELECTRICA",86.5
"4","ELECTRICA",86
"6","ELECTRICA",79.89
"2","ELECTRICA",91.83
"8","ELECTRICA",89.38
"4","ELECTRICA",82.2
"4","ELECTRICA",86.06
"2","ELECTRICA",87.17
"9","ELECTRICA",82.79
"4","ELECTRICA",83.67
"7","ELECTRICA",84.43
"6","ELECTRICA",93.42
"2","ELECTRICA",80.5
"6","ELECTRICA",78.59
"4","ELECTRICA",82.75
"2","ELECTRICA",95.17
"4","ELECTRICA",90.67
"6","ELECTRICA",87.24
"11","CIVIL",76.74
"10","CIVIL",79.76
"11","CIVIL",79.43
"11","CIVIL",77.57
"10","CIVIL",80.31
"10","CIVIL",78.54
"14","CIVIL",79.68
"10","CIVIL",77.54
"10","CIVIL",78.42
"11","CIVIL",81.68
"10","CIVIL",79.82
"10","CIVIL",80.22
"13","CIVIL",77.52
"14","CIVIL",78.47
"10","CIVIL",79.05
"11","CIVIL",78.53
"11","CIVIL",78.87
"10","CIVIL",79.98
"10","CIVIL",81.88
"11","CIVIL",81.35
"11","CIVIL",91.8
"11","CIVIL",80.14
"13","CIVIL",78.48
"13","CIVIL",79
"11","CIVIL",84.76
"10","CIVIL",81.93
"10","CIVIL",81.16
"12","CIVIL",78.95
"13","CIVIL",79.98
"11","CIVIL",80.14
"12","CIVIL",78.93
"10","CIVIL",83.49
"12","CIVIL",79.38
"15","CIVIL",78.15
"11","CIVIL",82.17
"11","CIVIL",81.49
"11","CIVIL",79.13
"10","CIVIL",79.58
"12","CIVIL",79.4
"13","CIVIL",79.09
"10","CIVIL",81.6
"10","CIVIL",82.98
"11","CIVIL",80.29
"10","CIVIL",83.6
"10","CIVIL",83.65
"12","CIVIL",83.3
"11","CIVIL",80.3
"10","CIVIL",79.1
"11","CIVIL",82.77
"13","CIVIL",78.56
"11","CIVIL",82.81
"11","CIVIL",78
"13","CIVIL",77.1
"10","CIVIL",83.42
"14","CIVIL",78.62
"12","CIVIL",78.93
"14","CIVIL",79.93
"9","CIVIL",83.82
"16","CIVIL",76.58
"11","CIVIL",86.98
"11","CIVIL",79.47
"13","CIVIL",79.55
"11","CIVIL",77.08
"10","CIVIL",79.79
"10","CIVIL",86.9
"11","CIVIL",78.1
"11","CIVIL",78.24
"10","CIVIL",83.65
"2","CIVIL",85
"2","CIVIL",83
"6","CIVIL",87.59
"2","CIVIL",86
"5","CIVIL",80.2
"4","CIVIL",85.44
"9","CIVIL",86.37
"3","CIVIL",84.3
"6","CIVIL",85.71
"6","CIVIL",85.5
"8","CIVIL",84.33
"5","CIVIL",80.3
"2","CIVIL",95
"8","CIVIL",83.38
"3","CIVIL",87.92
"5","CIVIL",84.85
"3","CIVIL",80.11
"3","CIVIL",83.5
"4","CIVIL",76.38
"2","CIVIL",90
"2","CIVIL",84.83
"9","CIVIL",77.72
"4","CIVIL",89.76
"5","CIVIL",84.47
"9","CIVIL",80.77
"6","CIVIL",86.32
"4","CIVIL",88.77
"9","CIVIL",83.81
"2","CIVIL",92
"7","CIVIL",80.14
"3","CIVIL",91.92
"3","CIVIL",79.57
"8","CIVIL",86.57
"6","CIVIL",89
"5","CIVIL",83.35
"5","CIVIL",86.63
"5","CIVIL",81.71
"4","CIVIL",83
"2","CIVIL",90.67
"7","CIVIL",78.05
"5","CIVIL",78.45
"3","CIVIL",87.17
"7","CIVIL",78.17
"7","CIVIL",79.89
"3","CIVIL",80.8
"4","CIVIL",89.58
"3","CIVIL",85.55
"8","CIVIL",83.97
"3","CIVIL",85.17
"8","CIVIL",84.15
"9","CIVIL",82.03
"8","CIVIL",81.06
"8","CIVIL",83.08
"7","CIVIL",94.17
"8","CIVIL",81
"9","CIVIL",85.05
"2","CIVIL",81
"7","CIVIL",85.34
"6","CIVIL",84.48
"3","CIVIL",93.42
"4","CIVIL",84.69
"5","CIVIL",82.33
"9","CIVIL",87.4
"5","CIVIL",82.23
"9","CIVIL",86.12
"4","CIVIL",86.33
"5","CIVIL",88
"7","CIVIL",82.46
"5","CIVIL",82.33
"4","CIVIL",89.12
"2","CIVIL",88.83
"2","CIVIL",80
"5","CIVIL",83.82
"6","CIVIL",88.33
"3","CIVIL",83.82
"3","CIVIL",85.67
"2","CIVIL",78
"4","CIVIL",82.67
"9","CIVIL",80.89
"5","CIVIL",81.94
"6","CIVIL",93.31
"4","CIVIL",84.57
"7","CIVIL",77.72
"3","CIVIL",91.25
"8","CIVIL",87.5
"2","CIVIL",90.33
"6","CIVIL",95.37
"6","CIVIL",84.5
"3","CIVIL",86.85
"6","CIVIL",90.83
"5","CIVIL",82.67
"2","CIVIL",86.67
"5","CIVIL",85.52
"8","CIVIL",82.88
"9","CIVIL",86.56
"7","CIVIL",78.79
"2","CIVIL",89
"5","CIVIL",84.15
"2","CIVIL",96.33
"6","CIVIL",87
"5","CIVIL",82.29
"3","CIVIL",84.78
"7","CIVIL",84.94
"8","CIVIL",83.5
"3","CIVIL",85.5
"2","CIVIL",93.33
"5","CIVIL",84.09
"7","CIVIL",88.19
"4","CIVIL",82
"2","CIVIL",79.67
"5","CIVIL",81.57
"6","CIVIL",84.39
"2","CIVIL",88.67
"3","CIVIL",89.33
"3","CIVIL",89.75
"7","CIVIL",83.62
"3","CIVIL",89.17
"4","CIVIL",79.15
"8","CIVIL",80.38
"5","CIVIL",86.38
"5","CIVIL",85.56
"5","CIVIL",84.09
"7","CIVIL",84.28
"4","CIVIL",90.89
"4","CIVIL",93.44
"4","CIVIL",89.39
"7","CIVIL",86.44
"2","CIVIL",84.67
"2","CIVIL",81.33
"6","CIVIL",83.29
"7","CIVIL",83.16
"6","CIVIL",82.93
"5","CIVIL",85.08
"2","CIVIL",93.83
"9","CIVIL",88.73
"5","CIVIL",86.6
"6","CIVIL",86.67
"7","CIVIL",82.56
"4","CIVIL",75.39
"6","CIVIL",83.46
"7","CIVIL",89.58
"6","CIVIL",81.7
"8","CIVIL",83.36
"3","CIVIL",83.92
"3","CIVIL",84.17
"2","CIVIL",92.17
"5","CIVIL",84.67
"5","CIVIL",84.83
"5","CIVIL",84
"8","CIVIL",85.8
"2","CIVIL",93
"3","CIVIL",83.5
"3","CIVIL",89.58
"6","CIVIL",84.12
"9","CIVIL",83.85
"8","CIVIL",92.68
"2","CIVIL",94.67
"8","CIVIL",85.85
"4","CIVIL",87.53
"6","CIVIL",82.55
"8","CIVIL",80.5
"5","CIVIL",90.25
"8","CIVIL",79.28
"7","CIVIL",81.07
"3","CIVIL",86
"4","CIVIL",91.89
"7","CIVIL",84.22
"3","CIVIL",78.5
"2","CIVIL",90
"4","CIVIL",84.87
"4","CIVIL",88.84
"6","CIVIL",85.16
"5","CIVIL",85.91
"6","CIVIL",83.87
"7","CIVIL",76.34
"4","CIVIL",92.17
"9","CIVIL",85.39
"6","CIVIL",83
"6","CIVIL",83.43
"5","CIVIL",82.33
"8","CIVIL",82.35
"6","CIVIL",86
"3","CIVIL",79.58
"3","CIVIL",85.18
"4","CIVIL",81.8
"8","CIVIL",80.54
"3","CIVIL",87
"7","CIVIL",84.04
"8","CIVIL",82.63
"6","CIVIL",80.86
"5","CIVIL",82.18
"4","CIVIL",93
"8","CIVIL",79.07
"7","CIVIL",79.69
"4","CIVIL",85
"2","CIVIL",96.17
"7","CIVIL",79.86
"7","CIVIL",82.05
"6","CIVIL",85.5
"6","CIVIL",89.9
"7","CIVIL",89.94
"7","CIVIL",82.44
"2","CIVIL",87
"9","CIVIL",86.13
"2","CIVIL",84.5
"4","CIVIL",80.3
"3","CIVIL",86.58
"9","CIVIL",77.48
"4","CIVIL",84.61
"5","CIVIL",78.83
"8","CIVIL",87.12
"5","CIVIL",88.12
"4","CIVIL",82.47
"7","CIVIL",80.7
"8","CIVIL",83.1
"4","CIVIL",87.54
"9","CIVIL",85.81
"4","CIVIL",88.91
"4","CIVIL",80.12
"7","CIVIL",86.3
"5","CIVIL",82.95
"9","CIVIL",86.76
"8","CIVIL",85.58
"2","CIVIL",79.17
"6","CIVIL",87.16
"7","CIVIL",92.78
"3","CIVIL",80.36
"3","CIVIL",84.89
"8","CIVIL",82.53
"5","CIVIL",83.47
"6","CIVIL",80.9
"8","CIVIL",90.67
"9","CIVIL",88.15
"3","CIVIL",87
"9","CIVIL",84.42
"5","CIVIL",84.5
"3","CIVIL",88.83
"7","CIVIL",85.78
"5","CIVIL",78.6
"6","CIVIL",80
"9","CIVIL",93.55
"6","CIVIL",92.84
"4","CIVIL",88.82
"2","CIVIL",88
"9","CIVIL",79.02
"6","CIVIL",89.23
"7","CIVIL",81.37
"8","CIVIL",80.17
"9","CIVIL",79.18
"6","CIVIL",80.48
"9","CIVIL",79.17
"7","CIVIL",87.83
"8","CIVIL",85.09
"4","CIVIL",90.06
"2","CIVIL",80.17
"2","CIVIL",83
"9","CIVIL",79.09
"6","CIVIL",84.45
"9","CIVIL",81.69
"3","CIVIL",80.27
"2","CIVIL",84.67
"9","CIVIL",82.55
"4","CIVIL",87.11
"4","CIVIL",88.33
"2","CIVIL",93.17
"6","CIVIL",94.3
"4","CIVIL",89.17
"6","CIVIL",89.3
"7","CIVIL",80.19
"8","CIVIL",88.63
"9","CIVIL",79.52
"2","CIVIL",84
"2","CIVIL",81.67
"4","CIVIL",80.63
"7","CIVIL",86.17
"2","CIVIL",84
"5","CIVIL",83.94
"7","CIVIL",86.04
"2","CIVIL",87.17
"6","CIVIL",84
"2","CIVIL",84.75
"8","CIVIL",85.64
"2","CIVIL",90
"5","CIVIL",90.61
"7","CIVIL",81.3
"2","CIVIL",91.33
"3","CIVIL",82.22
"9","CIVIL",82.33
"5","CIVIL",86.32
"6","CIVIL",79.65
"4","CIVIL",87
"7","CIVIL",87.56
"5","CIVIL",80.5
"6","CIVIL",85.18
"4","CIVIL",87.39
"6","CIVIL",85.32
"4","CIVIL",86.53
"9","CIVIL",83.98
"7","CIVIL",80.33
"7","CIVIL",81.11
"3","CIVIL",84.44
"7","CIVIL",86.3
"6","CIVIL",87.03
"3","CIVIL",90.83
"4","CIVIL",85.22
"5","CIVIL",83.88
"7","CIVIL",84.13
"3","CIVIL",86.17
"3","CIVIL",87.58
"8","CIVIL",82.34
"3","CIVIL",87.5
"3","CIVIL",89
"3","CIVIL",85.5
"6","CIVIL",86.69
"6","CIVIL",82.39
"7","CIVIL",77.68
"6","CIVIL",84.23
"4","CIVIL",81.44
"3","CIVIL",84.67
"8","CIVIL",88.43
"8","CIVIL",85.98
"9","CIVIL",83
"5","CIVIL",82.68
"9","CIVIL",89.48
"5","CIVIL",82.07
"8","CIVIL",85.65
"7","CIVIL",79.96
"3","CIVIL",78.71
"5","CIVIL",84.65
"2","CIVIL",93.33
"2","CIVIL",90.17
"8","CIVIL",81.54
"7","CIVIL",81.41
"7","CIVIL",82.52
"5","CIVIL",80.75
"3","CIVIL",80.33
"9","CIVIL",87.83
"5","CIVIL",89.08
"6","CIVIL",85.54
"5","CIVIL",83.8
"5","CIVIL",83.75
"3","CIVIL",77.67
"3","CIVIL",85.82
"7","CIVIL",81.8
"7","CIVIL",82.53
"2","CIVIL",86.67
"8","CIVIL",79.09
"7","CIVIL",78.83
"2","CIVIL",81.17
"5","CIVIL",80.1
"7","CIVIL",85.84
"4","CIVIL",78.76
"9","CIVIL",79.32
"5","CIVIL",85.26
"5","CIVIL",84.57
"5","CIVIL",78.08
"3","CIVIL",90.67
"6","CIVIL",85.55
"8","CIVIL",83.95
"9","CIVIL",95.57
"4","CIVIL",86.78
"9","CIVIL",79.86
"4","CIVIL",86.4
"9","CIVIL",81.45
"9","CIVIL",80.35
"2","CIVIL",83.67
"5","CIVIL",86.16
"9","CIVIL",86.98
"5","CIVIL",87.76
"9","CIVIL",84.76
"6","CIVIL",86.07
"6","CIVIL",87.61
"2","CIVIL",94.17
"9","CIVIL",88.54
"4","CIVIL",90.61
"8","CIVIL",80.14
"8","CIVIL",89.19
"8","CIVIL",82.83
"7","CIVIL",82.48
"2","CIVIL",87.17
"6","CIVIL",86.25
"2","CIVIL",88.83
"4","CIVIL",90.72
"4","CIVIL",88.83
"5","CIVIL",85.5
"2","CIVIL",89
"8","CIVIL",80.11
"8","CIVIL",77.58
"7","CIVIL",84.56
"6","CIVIL",79.35
"6","CIVIL",91.93
"3","CIVIL",79.83
"2","CIVIL",87.67
"2","CIVIL",78.25
"8","CIVIL",84.8
"9","CIVIL",84.67
"6","CIVIL",87
"9","CIVIL",86.48
"3","CIVIL",87.92
"3","CIVIL",81
"4","CIVIL",85.17
"4","CIVIL",94.75
"8","CIVIL",81.8
"9","CIVIL",79.25
"7","CIVIL",89.29
"5","CIVIL",82.73
"3","CIVIL",84.85
"6","CIVIL",85.73
"9","CIVIL",79.88
"3","CIVIL",79.67
"9","CIVIL",84.07
"9","CIVIL",88.08
"8","CIVIL",91.79
"8","CIVIL",82.4
"3","CIVIL",77.86
"8","CIVIL",85.59
"9","CIVIL",85.34
"3","CIVIL",79
"6","CIVIL",84.48
"4","CIVIL",87.11
"3","CIVIL",86.6
"9","CIVIL",79.2
"6","CIVIL",84.03
"2","CIVIL",85.67
"3","CIVIL",87.83
"8","CIVIL",84.82
"8","CIVIL",94.23
"6","CIVIL",87.64
"7","CIVIL",84.53
"2","CIVIL",97.33
"2","CIVIL",76.33
"4","CIVIL",83.88
"8","CIVIL",90.81
"5","CIVIL",81.63
"3","CIVIL",87.29
"8","CIVIL",79.08
"5","CIVIL",84.87
"3","CIVIL",79
"3","CIVIL",85.75
"6","CIVIL",81.96
"8","CIVIL",89.98
"6","CIVIL",83.61
"8","CIVIL",89.44
"7","CIVIL",79.32
"4","CIVIL",93.67
"3","CIVIL",87.08
"5","CIVIL",84.16
"4","CIVIL",90.24
"8","CIVIL",89.11
"3","CIVIL",84.75
"7","CIVIL",84.75
"7","CIVIL",79.78
"2","CIVIL",86
"6","CIVIL",83.79
"7","CIVIL",84.39
"4","CIVIL",90.56
"2","CIVIL",92.17
"2","CIVIL",91.17
"9","CIVIL",81.22
"7","CIVIL",83.36
"6","CIVIL",79
"5","CIVIL",76.67
"9","CIVIL",80.18
"8","CIVIL",82.66
"6","CIVIL",84.71
"7","CIVIL",86.94
"7","CIVIL",93.17
"4","CIVIL",83.75
"3","CIVIL",87.75
"4","CIVIL",85.4
"3","CIVIL",86
"4","CIVIL",84.12
"3","CIVIL",90.58
"5","CIVIL",76.83
"3","CIVIL",80.36
"4","CIVIL",85.06
"4","CIVIL",87
"2","CIVIL",91
"2","CIVIL",85.67
"7","CIVIL",81.65
"2","CIVIL",94
"5","CIVIL",82.89
"2","CIVIL",89.33
"7","CIVIL",90.64
"3","CIVIL",83.73
"3","CIVIL",91.83
"7","CIVIL",81.2
"6","CIVIL",86.64
"7","CIVIL",79.89
"8","CIVIL",86.39
"8","CIVIL",84.16
"3","CIVIL",88.33
"2","CIVIL",77
"7","CIVIL",84.12
"2","CIVIL",89
"5","CIVIL",87.04
"3","CIVIL",84
"2","CIVIL",93.2
"7","CIVIL",82.88
"2","CIVIL",84.33
"9","CIVIL",84.02
"2","CIVIL",84.5
"3","CIVIL",76
"4","CIVIL",94.44
"3","CIVIL",87.67
"3","CIVIL",85.89
"2","CIVIL",81
"4","CIVIL",83.55
"8","CIVIL",84.86
"9","CIVIL",85.9
"3","CIVIL",79.89
"6","CIVIL",80.31
"2","CIVIL",94.33
"6","CIVIL",78.58
"7","CIVIL",87.94
"8","CIVIL",87.19
"7","CIVIL",78.11
"2","CIVIL",91.5
"7","CIVIL",84.35
"5","CIVIL",81.83
"7","CIVIL",90.86
"3","CIVIL",87
"3","CIVIL",87.08
"6","CIVIL",80.18
"6","CIVIL",84.21
"4","CIVIL",83.47
"12","BIOQUIMICA",79.85
"10","BIOQUIMICA",87.45
"12","BIOQUIMICA",76.79
"10","BIOQUIMICA",85.45
"10","BIOQUIMICA",84.91
"10","BIOQUIMICA",88.85
"10","BIOQUIMICA",90.09
"10","BIOQUIMICA",88.82
"10","BIOQUIMICA",82.35
"12","BIOQUIMICA",78.54
"11","BIOQUIMICA",82.49
"10","BIOQUIMICA",83.24
"10","BIOQUIMICA",85.51
"10","BIOQUIMICA",81.53
"11","BIOQUIMICA",77.83
"10","BIOQUIMICA",87.65
"14","BIOQUIMICA",83.9
"10","BIOQUIMICA",82.52
"10","BIOQUIMICA",85.02
"10","BIOQUIMICA",87.91
"10","BIOQUIMICA",91.36
"11","BIOQUIMICA",79.83
"10","BIOQUIMICA",82.2
"10","BIOQUIMICA",80.78
"10","BIOQUIMICA",90.91
"10","BIOQUIMICA",83.84
"10","BIOQUIMICA",89.82
"14","BIOQUIMICA",79.3
"10","BIOQUIMICA",83.51
"10","BIOQUIMICA",81.96
"11","BIOQUIMICA",82.2
"12","BIOQUIMICA",83.15
"12","BIOQUIMICA",84.3
"10","BIOQUIMICA",78.75
"10","BIOQUIMICA",82.06
"12","BIOQUIMICA",81.93
"10","BIOQUIMICA",81.83
"10","BIOQUIMICA",86.69
"12","BIOQUIMICA",79.75
"10","BIOQUIMICA",81.97
"10","BIOQUIMICA",81.66
"10","BIOQUIMICA",80.73
"11","BIOQUIMICA",83.31
"10","BIOQUIMICA",87.67
"10","BIOQUIMICA",83.25
"10","BIOQUIMICA",77.48
"10","BIOQUIMICA",90.2
"4","BIOQUIMICA",91.22
"2","BIOQUIMICA",97.67
"6","BIOQUIMICA",93
"4","BIOQUIMICA",83.28
"4","BIOQUIMICA",83.53
"6","BIOQUIMICA",81.54
"4","BIOQUIMICA",83.47
"6","BIOQUIMICA",86.45
"3","BIOQUIMICA",83.92
"8","BIOQUIMICA",84.27
"5","BIOQUIMICA",82.47
"2","BIOQUIMICA",97
"5","BIOQUIMICA",83.58
"5","BIOQUIMICA",81.16
"8","BIOQUIMICA",88.36
"8","BIOQUIMICA",88.21
"9","BIOQUIMICA",78.56
"4","BIOQUIMICA",89.89
"6","BIOQUIMICA",83.34
"8","BIOQUIMICA",83.86
"2","BIOQUIMICA",92.67
"8","BIOQUIMICA",86.86
"4","BIOQUIMICA",81.39
"5","BIOQUIMICA",82.14
"8","BIOQUIMICA",82.3
"6","BIOQUIMICA",86.62
"6","BIOQUIMICA",80.5
"8","BIOQUIMICA",83.34
"7","BIOQUIMICA",80.09
"6","BIOQUIMICA",86.04
"8","BIOQUIMICA",90.74
"8","BIOQUIMICA",84.25
"6","BIOQUIMICA",78.47
"7","BIOQUIMICA",86.04
"3","BIOQUIMICA",80.7
"6","BIOQUIMICA",80.08
"6","BIOQUIMICA",79.64
"8","BIOQUIMICA",79.03
"7","BIOQUIMICA",82.05
"8","BIOQUIMICA",82.54
"9","BIOQUIMICA",83.28
"2","BIOQUIMICA",94.83
"2","BIOQUIMICA",94
"6","BIOQUIMICA",82.13
"8","BIOQUIMICA",82.39
"7","BIOQUIMICA",82.69
"9","BIOQUIMICA",78.9
"8","BIOQUIMICA",81.06
"7","BIOQUIMICA",83.52
"8","BIOQUIMICA",83.24
"4","BIOQUIMICA",85.79
"9","BIOQUIMICA",81.12
"6","BIOQUIMICA",84.5
"3","BIOQUIMICA",95.75
"5","BIOQUIMICA",86.06
"6","BIOQUIMICA",82.18
"7","BIOQUIMICA",87.5
"9","BIOQUIMICA",84.77
"3","BIOQUIMICA",88.83
"6","BIOQUIMICA",91.24
"9","BIOQUIMICA",82.2
"7","BIOQUIMICA",82.23
"5","BIOQUIMICA",82.48
"9","BIOQUIMICA",82.97
"9","BIOQUIMICA",82.08
"4","BIOQUIMICA",96.65
"4","BIOQUIMICA",82.06
"8","BIOQUIMICA",96
"7","BIOQUIMICA",79.66
"2","BIOQUIMICA",87.67
"4","BIOQUIMICA",94.94
"2","BIOQUIMICA",89
"6","BIOQUIMICA",85
"5","BIOQUIMICA",85.88
"6","BIOQUIMICA",86.13
"7","BIOQUIMICA",85.5
"5","BIOQUIMICA",89.71
"5","BIOQUIMICA",84.92
"4","BIOQUIMICA",88.21
"5","BIOQUIMICA",81.83
"8","BIOQUIMICA",79.45
"5","BIOQUIMICA",86.06
"2","BIOQUIMICA",94.33
"4","BIOQUIMICA",97.33
"7","BIOQUIMICA",79.87
"8","BIOQUIMICA",80.53
"2","BIOQUIMICA",93.17
"4","BIOQUIMICA",80.91
"7","BIOQUIMICA",81.46
"7","BIOQUIMICA",81.54
"3","BIOQUIMICA",88.5
"8","BIOQUIMICA",85.88
"3","BIOQUIMICA",89.33
"8","BIOQUIMICA",94.14
"7","BIOQUIMICA",83.59
"2","BIOQUIMICA",91
"9","BIOQUIMICA",76.44
"4","BIOQUIMICA",88.67
"6","BIOQUIMICA",94.07
"2","BIOQUIMICA",93.83
"2","BIOQUIMICA",85.33
"4","BIOQUIMICA",80.45
"6","BIOQUIMICA",81.44
"2","BIOQUIMICA",95.33
"8","BIOQUIMICA",92.1
"2","BIOQUIMICA",95.67
"8","BIOQUIMICA",81.18
"8","BIOQUIMICA",77.97
"8","BIOQUIMICA",81.97
"8","BIOQUIMICA",88.81
"3","BIOQUIMICA",87.75
"4","BIOQUIMICA",91.89
"2","BIOQUIMICA",95.83
"2","BIOQUIMICA",96
"2","BIOQUIMICA",88.5
"2","BIOQUIMICA",90.75
"8","BIOQUIMICA",85.19
"2","BIOQUIMICA",93.17
"4","BIOQUIMICA",90.36
"8","BIOQUIMICA",83.59
"4","BIOQUIMICA",91.83
"8","BIOQUIMICA",92.83
"8","BIOQUIMICA",92.61
"2","BIOQUIMICA",93.83
"2","BIOQUIMICA",92.4
"2","BIOQUIMICA",89.5
"9","BIOQUIMICA",80.63
"3","BIOQUIMICA",79.36
"3","BIOQUIMICA",82.5
"3","BIOQUIMICA",85.67
"6","BIOQUIMICA",93.6
"4","BIOQUIMICA",84.11
"8","BIOQUIMICA",87.56
"2","BIOQUIMICA",89
"2","BIOQUIMICA",96.33
"9","BIOQUIMICA",78.74
"9","BIOQUIMICA",84.89
"5","BIOQUIMICA",82.27
"4","BIOQUIMICA",93.94
"8","BIOQUIMICA",83.95
"4","BIOQUIMICA",81.21
"4","BIOQUIMICA",91
"2","BIOQUIMICA",93.33
"4","BIOQUIMICA",74.5
"3","BIOQUIMICA",82.75
"4","BIOQUIMICA",94.33
"3","BIOQUIMICA",86.58
"8","BIOQUIMICA",91.37
"5","BIOQUIMICA",86.96
"2","BIOQUIMICA",91.67
"4","BIOQUIMICA",87.5
"2","BIOQUIMICA",96.17
"7","BIOQUIMICA",90.28
"8","BIOQUIMICA",87.52
"2","BIOQUIMICA",91.83
"2","BIOQUIMICA",90.67
"2","BIOQUIMICA",94.17
"6","BIOQUIMICA",84.5
"5","BIOQUIMICA",83.4
"8","BIOQUIMICA",91.12
"6","BIOQUIMICA",85.23
"2","BIOQUIMICA",93.67
"2","BIOQUIMICA",92.33
"3","BIOQUIMICA",88.08
"6","BIOQUIMICA",84.19
"2","BIOQUIMICA",95.33
"3","BIOQUIMICA",80.67
"2","BIOQUIMICA",96.33
"7","BIOQUIMICA",85.48
"5","BIOQUIMICA",80.05
"2","BIOQUIMICA",95.67
"2","BIOQUIMICA",89.67
"3","BIOQUIMICA",81.75
"4","BIOQUIMICA",85
"4","BIOQUIMICA",90.17
"8","BIOQUIMICA",81.12
"8","BIOQUIMICA",79.37
"5","BIOQUIMICA",85.2
"4","BIOQUIMICA",90.61
"7","BIOQUIMICA",87.06
"8","BIOQUIMICA",85.11
"8","BIOQUIMICA",77.34
"8","BIOQUIMICA",83.87
"4","BIOQUIMICA",93.94
"6","BIOQUIMICA",87.71
"5","BIOQUIMICA",83.78
"2","BIOQUIMICA",93.67
"5","BIOQUIMICA",84.83
"3","BIOQUIMICA",84.92
"6","BIOQUIMICA",90.37
"7","BIOQUIMICA",79.82
"5","BIOQUIMICA",84.59
"3","BIOQUIMICA",85.83
"3","BIOQUIMICA",83.08
"5","BIOQUIMICA",88.1
"4","BIOQUIMICA",74.2
"2","BIOQUIMICA",94.5
"3","BIOQUIMICA",91
"7","BIOQUIMICA",88.64
"5","BIOQUIMICA",85.42
"2","BIOQUIMICA",89
"2","BIOQUIMICA",91.33
"4","BIOQUIMICA",87.88
"4","BIOQUIMICA",92.28
"8","BIOQUIMICA",82.77
"4","BIOQUIMICA",92.39
"2","BIOQUIMICA",93.83
"2","BIOQUIMICA",91.5
"7","BIOQUIMICA",82.25
"6","BIOQUIMICA",84.23
"5","BIOQUIMICA",79.81
"4","BIOQUIMICA",90.12
"7","BIOQUIMICA",85.95
"4","BIOQUIMICA",90.56
"4","BIOQUIMICA",89.28
"8","BIOQUIMICA",79.47
"2","BIOQUIMICA",94.83
"2","BIOQUIMICA",89.83
"2","BIOQUIMICA",90.83
"6","BIOQUIMICA",88.86
"3","BIOQUIMICA",84.83
"3","BIOQUIMICA",85.25
"2","BIOQUIMICA",91.67
"7","BIOQUIMICA",90.14
"5","BIOQUIMICA",84.7
"4","BIOQUIMICA",89.61
"8","BIOQUIMICA",81.29
"6","BIOQUIMICA",84.65
"4","BIOQUIMICA",93.06
"5","BIOQUIMICA",85.15
"3","BIOQUIMICA",85.83
"4","BIOQUIMICA",79.67
"8","BIOQUIMICA",92.55
"3","BIOQUIMICA",86.75
"4","BIOQUIMICA",84.07
"2","BIOQUIMICA",93.17
"4","BIOQUIMICA",94.72
"4","BIOQUIMICA",88.94
"8","BIOQUIMICA",87.43
"3","BIOQUIMICA",85.5
"4","BIOQUIMICA",79
"5","BIOQUIMICA",86.53
"5","BIOQUIMICA",77.46
"7","BIOQUIMICA",83.53
"9","BIOQUIMICA",87.13
